Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Norway,16,8,13,37
Germany,12,10,5,27
United States of America,9,9,7,25
People's Republic of China,9,4,2,15
Sweden,8,5,5,18
Netherlands,8,5,4,17
Austria,7,7,4,18
Switzerland,7,2,6,15
ROC,5,12,15,32
France,5,7,2,14
Canada,4,8,14,26
Japan,3,7,8,18
Italy,2,7,8,17
Republic of Korea,2,5,2,9
Slovenia,2,3,2,7
Finland,2,2,4,8
New Zealand,2,1,0,3
Australia,1,2,1,4
Great Britain,1,1,0,2
Hungary,1,0,2,3
Slovakia,1,0,1,2
Belgium,1,0,1,2
Czechia,1,0,1,2
Belarus,0,2,0,2
Spain,0,1,0,1
Ukraine,0,1,0,1
Latvia,0,0,1,1
Poland,0,0,1,1
Estonia,0,0,1,1
